Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-609,2920.23,3606.3,3954.07,2920.23,3606.3,3954.07,0.03,0,1.51,0.67,0.12,0,0.01,20.23,21.67,24.16,3.52,0.43,5.25,1.24,0.06,3.3,2.68,porphyry,PRI,POT,0.36
S-610,2639.2,3525.99,3962.84,2639.2,3525.99,3962.84,0.01,0,1.1,0.36,0.09,0,0.01,25.23,16.66,21.28,2.79,0.17,8.31,0.67,0.08,3.3,2.67,porphyry,PRI,POT,0.38
S-611,2566.12,3689.51,3966.16,2566.12,3689.51,3966.16,0.02,0,0.95,0.25,0.29,0,0.01,23.26,12.68,38.23,3.22,0.6,6.95,0.37,0.11,2.65,2.63,porphyry,PRI,POT,0.38
S-612,2828.25,3649.36,3970.01,2828.25,3649.36,3970.01,0.02,0.01,0.47,0.51,0.02,0,0.01,21.59,15.14,30.52,2.73,0.64,8.06,1.02,0.15,4.74,2.69,porphyry,PRI,POT,0.34
S-613,3053.86,3213.94,3949.73,3053.86,3213.94,3949.73,0.01,0,1.62,0.2,0.01,0,0.01,26.23,10.32,12.21,8.67,0.24,7.42,1.03,0.08,3.84,2.7,porphyry,PRI,POT,0.34
S-614,3053.86,3213.94,3949.73,3053.86,3213.94,3949.73,0.01,0,1.62,0.2,0.01,0,0.01,26.23,10.32,12.21,8.67,0.24,7.42,1.03,0.08,3.84,2.7,porphyry,PRI,POT,0.32
S-615,3084.43,3500.2,3986.61,3084.43,3500.2,3986.61,0.02,0,0.81,0.57,0.01,0,0.01,19.13,12.94,23.04,3.39,0.23,7.64,1.65,0.06,2.58,2.7,porphyry,PRI,POT,0.33
S-616,3042.88,3190.8,3951.88,3042.88,3190.8,3951.88,0.01,0,2.01,0.27,0.01,0,0.01,29.99,9.72,11.55,10.7,0.22,6.83,1.02,0.06,3.35,2.7,porphyry,PRI,POT,0.31
S-617,3042.88,3190.8,3951.88,3042.88,3190.8,3951.88,0.01,0,2.01,0.27,0.01,0,0.01,29.99,9.72,11.55,10.7,0.22,6.83,1.02,0.06,3.35,2.7,porphyry,PRI,POT,0.35
S-618,2334.14,3771.63,3918.9,2334.14,3771.63,3918.9,0.02,0,0.72,0.65,0.1,0,0.01,22.57,22.95,32.46,3.2,0.29,5.82,0.6,0.19,5.85,2.68,porphyry,PRI,POT,0.41
S-619,2530.49,3871.86,3940.67,2530.49,3871.86,3940.67,0.02,0,0.58,0.17,0.15,0,0.01,21.26,17.78,37.29,2.19,0.36,5.1,0.65,0.18,3.61,2.66,porphyry,PRI,POT,0.37
S-620,2530.49,3871.86,3940.67,2530.49,3871.86,3940.67,0.02,0,0.58,0.17,0.15,0,0.01,21.26,17.78,37.29,2.19,0.36,5.1,0.65,0.18,3.61,2.66,porphyry,PRI,POT,0.37
S-621,2651.55,3497.89,3909.85,2651.55,3497.89,3909.85,0.02,0,0.77,0.44,0.02,0,0.01,24.51,15.27,19.8,2.59,0.58,8.02,1.44,0.04,5.53,2.68,porphyry,PRI,POT,0.36
S-622,2777.28,3498.12,3902.08,2777.28,3498.12,3902.08,0.01,0.01,0.64,0.45,0.01,0,0.01,22.43,14.53,18.33,2.82,0.49,7.92,0.97,0.06,3.1,2.64,porphyry,PRI,POT,0.33
S-623,2633.14,3502.51,3863.34,2633.14,3502.51,3863.34,0.02,0.01,0.43,0.75,0.01,0,0.01,24.13,14.96,19.24,1.64,0.47,8.57,0.87,0.06,3.43,2.69,porphyry,PRI,POT,0.35
S-624,2456.44,3850.41,3929.24,2456.44,3850.41,3929.24,0.02,0.01,0.44,0.34,0.07,0,0.01,19.66,13.49,28.76,1.97,0.75,7.79,0.88,0.08,4.8,2.69,porphyry,PRI,POT,0.36
S-625,2635.8,3765.44,3990.15,2635.8,3765.44,3990.15,0.02,0,0.64,0.5,0.46,0,0.01,23.29,13.99,33.23,3.32,0.8,6.05,0.73,0.08,2.65,2.68,porphyry,PRI,POT,0.42
S-626,2588.18,3694.28,3913.99,2588.18,3694.28,3913.99,0.01,0,1.28,0.54,0.14,0,0.01,23.65,14.51,33.67,2.6,0.46,5.78,0.79,0.04,6.73,2.68,porphyry,PRI,POT,0.33
S-627,2747.26,3685.39,3926.41,2747.26,3685.39,3926.41,0.01,0,1.71,0.23,0.01,0,0.01,32.01,19.11,28.43,4.77,0.61,3.94,0.63,0.03,3.43,2.66,porphyry,PRI,POT,0.38
S-628,2747.25,3684.55,3919.85,2747.25,3684.55,3919.85,0.02,0.01,1.16,0.48,0.25,0,0.01,34.66,17.09,28.72,3.52,0.68,3.47,0.66,0.02,2.79,2.67,porphyry,PRI,POT,0.4
S-629,2280.07,3840.54,3924.03,2280.07,3840.54,3924.03,0.02,0.01,1.08,0.72,0.25,0,0.01,27.16,21.99,27.48,3.25,0.64,4.65,0.85,0.05,5.98,2.73,porphyry,PRI,POT,0.4
S-630,2185.5,3761.91,3925.88,2185.5,3761.91,3925.88,0.02,0,1.36,0.47,0.06,0,0.01,25.15,17.76,36.58,3.62,0.59,4.76,0.5,0.05,5.22,2.67,porphyry,PRI,POT,0.34
S-631,2231.99,3748.9,3934.92,2231.99,3748.9,3934.92,0,0,0.61,0.1,0.3,0,0.01,23.51,11.94,33.37,1.86,0.59,5.66,0.61,0.09,2.7,2.65,porphyry,PRI,POT,0.33
S-632,3232.48,3719.19,3979.81,3232.48,3719.19,3979.81,0.03,0,0.57,0.85,0.01,0,0.01,28.55,21.69,22.44,1.52,0.68,4.39,0.79,0.03,2.92,2.66,porphyry,PRI,POT,0.4
S-633,2883.19,3717.14,3958.14,2883.19,3717.14,3958.14,0.02,0,0.87,0.63,0.4,0,0.01,31.1,17.83,22.78,2.78,0.77,4.36,0.9,0.07,2.94,2.67,porphyry,PRI,POT,0.36
S-634,2232.93,3765.13,3943.99,2232.93,3765.13,3943.99,0.01,0,0.66,0.21,0.31,0,0.01,24.38,14.08,32.98,3.07,0.31,5.29,0.55,0.06,2.71,2.66,porphyry,PRI,POT,0.34
